"filename","_col1"
"20230812_21_408.zip-381276H0.805","653"
"20230814_19_408.zip-381472H0.804","6663"
"20230813_11_408.zip-381351H0.804","474"
"20230816_10_408.zip-381692H0.814","843"
"20230815_14_408.zip-381578H0.814","989"
"20230815_03_408.zip-381584H0.805","320"
"20230813_19_408.zip-381330H0.815","4528"
"20230817_10_408.zip-381773H0.811","505"
"20230816_12_408.zip-381600H0.804","772"
"20230817_11_408.zip-381735H0.816","3579"
"20230816_20_408.zip-381606H0.804","864"
"20230812_10_408.zip-381223H0.815","1330"
"20230814_19_408.zip-381426H0.812","204"
"20230816_13_408.zip-381658H0.807","1242"
"20230815_18_408.zip-381562H0.811","1504"
"20230812_21_408.zip-381227H0.815","438"
"20230818_07_408.zip-381876H0.801","4774"
"20230816_07_408.zip-381694H0.804","1551"
"20230817_11_408.zip-381719H0.804","1962"
"20230819_21_408.zip-381939H0.804","12"
"20230819_13_408.zip-381968H0.812","37"
"20230819_16_408.zip-381999H0.802","152"
"20230821_15_408.zip-382178H0.812","18"
"20230821_07_408.zip-382125H0.805","18"
"20230821_13_408.zip-382192H0.813","12"
"20230820_10_408.zip-382018H0.811","44"
"20230822_12_408.zip-382252H0.809","12"
"20230822_19_408.zip-382242H0.805","17"
"20230821_19_408.zip-382180H0.812","18"
"20230823_14_408.zip-382309H0.815","6"
"20230810_06_408.zip-381080H0.807","1639"
"20230822_06_408.zip-382297H0.815","9"
"20230810_06_408.zip-381019H0.804","4440"
"20230822_21_408.zip-382213H0.813","12"
"20230824_08_408.zip-382447H0.807","30"
"20230810_19_408.zip-381090H0.815","1881"
"20230823_14_408.zip-382325H0.807","38"
"20230810_23_408.zip-381095H0.815","910"
"20230817_20_408.zip-381775H0.801","1340"
"20230815_06_408.zip-381569H0.814","1440"
"20230817_04_408.zip-381795H0.809","1153"
"20230817_09_408.zip-381762H0.807","5923"
"20230812_09_408.zip-381296H0.812","2637"
"20230815_14_408.zip-381531H0.812","5207"
"20230814_12_408.zip-381420H0.812","1382"
"20230813_14_408.zip-381344H0.813","815"
"20230814_10_408.zip-381423H0.807","595"
"20230820_12_408.zip-382022H0.811","42"
"20230813_15_408.zip-381314H0.807","1348"
"20230820_04_408.zip-382000H0.802","151"
"20230818_19_408.zip-381806H0.814","99"
"20230812_21_408.zip-381299H0.812","1452"
"20230820_11_408.zip-382041H0.804","12"
"20230818_15_408.zip-381800H0.805","96"
"20230818_19_408.zip-381895H0.811","102"
"20230815_12_408.zip-381576H0.814","835"
"20230819_20_408.zip-381977H0.815","23"
"20230817_01_408.zip-381677H0.808","263"
"20230821_06_408.zip-382184H0.813","12"
"20230811_07_408.zip-381194H0.807","492"
"20230819_12_408.zip-381919H0.814","12"
"20230823_14_408.zip-382311H0.808","7"
"20230811_12_408.zip-381190H0.812","1801"
"20230821_20_408.zip-382142H0.811","39"
"20230810_21_408.zip-381092H0.815","759"
"20230820_20_408.zip-382081H0.813","13"
"20230811_02_408.zip-381059H0.809","5055"
"20230811_12_408.zip-381123H0.811","575"
"20230810_13_408.zip-381079H0.812","439"
"20230810_11_408.zip-381059H0.805","1617"
"20230823_22_408.zip-382338H0.807","38"
"20230814_08_408.zip-381437H0.801","892"
"20230815_07_408.zip-381549H0.801","317"
"20230817_07_408.zip-381769H0.811","888"
"20230812_20_408.zip-381275H0.805","555"
"20230815_21_408.zip-381551H0.815","738"
"20230812_06_408.zip-381234H0.811","5431"
"20230817_07_408.zip-381797H0.809","1001"
"20230816_13_408.zip-381689H0.809","4032"
"20230816_06_408.zip-381651H0.807","2144"
"20230815_15_408.zip-381560H0.811","1250"
"20230816_01_408.zip-381560H0.801","1202"
"20230820_11_408.zip-382076H0.813","14"
"20230817_05_408.zip-381766H0.801","1420"
"20230819_21_408.zip-381938H0.804","12"
"20230814_18_408.zip-381485H0.809","1091"
"20230819_10_408.zip-381902H0.811","44"
"20230812_15_408.zip-381250H0.814","1007"
"20230818_02_408.zip-381793H0.805","5427"
"20230812_16_408.zip-381235H0.813","887"
"20230818_17_408.zip-381872H0.807","60"
"20230816_23_408.zip-381613H0.804","418"
"20230812_16_408.zip-381210H0.806","2806"
"20230819_22_408.zip-381913H0.811","44"
"20230820_01_408.zip-381920H0.814","12"
"20230811_06_408.zip-381117H0.811","1371"
"20230822_22_408.zip-382249H0.811","39"
"20230822_08_408.zip-382206H0.813","12"
"20230822_04_408.zip-382242H0.809","12"
"20230823_05_408.zip-382394H0.801","5"
"20230824_07_408.zip-382482H0.809","12"
"20230821_19_408.zip-382133H0.805","18"
"20230810_14_408.zip-381012H0.801","861"
"20230811_18_408.zip-381130H0.804","3717"
"20230817_19_408.zip-381764H0.813","2215"
"20230813_17_408.zip-381356H0.804","1375"
"20230814_23_408.zip-381435H0.807","771"
"20230813_22_408.zip-381360H0.804","528"
"20230817_13_408.zip-381786H0.808","1044"
"20230816_09_408.zip-381658H0.815","782"
"20230812_23_408.zip-381254H0.808","2677"
"20230816_03_408.zip-381650H0.807","662"
"20230816_19_408.zip-381696H0.814","1433"
"20230815_16_408.zip-381561H0.811","1378"
"20230812_22_408.zip-381209H0.807","1180"
"20230812_21_408.zip-381238H0.813","2470"
"20230815_13_408.zip-381554H0.801","1422"
"20230819_10_408.zip-381910H0.809","47"
"20230818_23_408.zip-381897H0.811","56"
"20230820_17_408.zip-382079H0.813","13"
"20230820_13_408.zip-382014H0.805","20"
"20230823_15_408.zip-382353H0.811","39"
"20230821_01_408.zip-382034H0.811","42"
"20230821_08_408.zip-382138H0.816","41"
"20230811_06_408.zip-381129H0.804","6609"
"20230821_12_408.zip-382130H0.805","18"
"20230811_23_408.zip-381113H0.815","234"
"20230821_17_408.zip-382144H0.804","11"
"20230823_17_408.zip-382318H0.813","10"
"20230822_08_408.zip-382250H0.814","10"
"20230821_16_408.zip-382194H0.813","12"
"20230810_15_408.zip-381054H0.809","5045"
"20230823_11_408.zip-382349H0.805","16"
"20230822_19_408.zip-382212H0.813","12"
"20230823_10_408.zip-382366H0.814","8"
"20230813_18_408.zip-381346H0.811","4511"
"20230812_13_408.zip-381204H0.807","514"
"20230816_13_408.zip-381601H0.804","694"
"20230817_07_408.zip-381779H0.808","556"
"20230814_12_408.zip-381425H0.807","770"
"20230813_18_408.zip-381380H0.809","785"
"20230814_13_408.zip-381426H0.807","661"
"20230818_14_408.zip-381805H0.809","190"
"20230818_07_408.zip-381890H0.811","104"
"20230816_06_408.zip-381687H0.814","5407"
"20230818_13_408.zip-381832H0.804","75"
"20230816_18_408.zip-381691H0.809","3328"
"20230818_15_408.zip-381896H0.802","172"
"20230824_10_408.zip-382460H0.811","38"
